Exchange,January,February,March,April,May,June,July,August,September,October,November,December
BM&FBOVESPA S.A.,9135.62,9253.32,9805.65,9402.58,8795.55,8293.4,9252,8883.22,9520.77,9643.36,9287.99,9634.08
Bolsa de Comercio de Buenos Aires,8098.81,7879.7,8502.19,8625.61,7826.63,7799.42,8602.15,8258.42,9275.91,10224.57,10781.4,11857.45
Bolsa de Comercio de Santiago,3808.96,3827.44,3763.12,3865.45,3886.86,4065.26,4364.15,4525.01,4795.38,4912.53,4956.96,4927.53
Bolsa de Valores de Lima,22707.94,21937.73,23048.69,23560.99,21598.86,20741.15,21452.78,22807.56,26055.67,28031.77,28989.81,32050.41
Bolsa Mexicana de Valores,30391.61,31634.54,33266.43,32687.32,32038.53,31156.97,32308.73,31679.85,33330.34,36198.6,36817.32,38550.79
Nasdaq - US,1741.04,1818.68,1958.34,2000.63,1852.39,1739.14,1864,1767.43,1998.04,2124.45,2117.33,2217.86
NYSE,4959.38,5056.58,5318.94,5340.03,4882.38,4646.38,4962.19,4752.67,5102.24,5243.8,5237.23,5599.23
TMX Group,648.53,680.76,706.81,716.05,691.63,662.06,685.03,694.05,715.07,728.09,741.34,768.65
Australian Securities Exchange,4591.24,4673.1,4909.8,4828.5,4444,4328.9,4517.5,4406.7,4571.9,4647.5,4555.6,4693.3
BSE India Limited,16357.96,16429.55,17527.77,17558.71,16944.63,17700.9,17868.29,17971.12,20069.12,20032.34,19521.25,20509.09
Bursa Malaysia,1259.16,1270.78,1320.57,1346.38,1285.01,1314.02,1360.92,1422.49,1463.5,1505.66,1485.23,1518.91
Colombo Stock Exchange,4181.79,4354.73,4270.73,4712.4,4757.4,5278.35,5854.73,5889.16,7552.7,7241.77,6988.54,7061.46
Hong Kong Exchanges and Clearing,20121.99,20608.7,21239.35,21108.59,19765.19,20128.99,21029.81,20536.49,22358.17,23096.32,23007.99,23035.45
Indonesia Stock Exchange,510.45,496.03,539.8,573.37,543.59,566.1,589.93,581.31,651.93,673.42,638.08,661.38
Japan Exchange Group - Osaka,18475.35,17864.31,19735.93,20098.88,17906.14,17250.34,17404.48,16409.75,17071.84,16405.75,17435.96,18205.32
Japan Exchange Group - Tokyo,511.86,504.74,553.95,544.89,484.68,456.1,464.87,444.67,451.82,444.28,474.78,494.18
Korea Exchange,3392.2,3363.17,3553.54,3660.94,3445.68,3545.95,3702.42,3664.14,3925.7,3923.25,4030.42,4386.97
National Stock Exchange of India Limited,4882.05,4922.3,5249.1,5278,5086.3,5312.5,5367.6,5402.4,6029.95,6017.7,5862.7,6134.5
