Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Bermuda Stock Exchange,2064.51,1900.08,1622.9,1276.39,1363.67,1233.65,1244.25,1259.39,1275.7,1260.94,1188.89,1142.49
BM&FBOVESPA S.A.,65401.77,66503.27,70371.54,67529.73,63046.51,60935.9,60515,65145.45,69429.78,70673.3,67705.4,69304.81
Bolsa de Comercio de Buenos Aires,127937.15,124970.09,134195.35,136118.24,124539.47,123883.53,135444.78,129923.55,145193.03,158855.16,169624.83,188392.43
Bolsa de Comercio de Santiago,17594.65,17789.25,17642.67,18039.09,18130.71,18848.07,20296.63,21239.7,22355.94,22874.62,22927.69,22979.22
Bolsa de Valores de Lima,14440.05,14002.32,15129,15842.26,14487.31,13985.01,14275.38,15153.33,17867.36,19220.93,20854.5,23374.57
Bolsa Mexicana de Valores,233.42,242.47,255.48,250.94,245.93,239.35,247.86,244.37,256.92,273.57,282.89,296.07
Nasdaq - US,2147.35,2238.26,2397.96,2461.19,2257.04,2109.24,2254.7,2114.03,2368.62,2507.41,2498.23,2652.87
NYSE,6883.78,7035.05,7447.8,7474.4,6791.57,6469.65,6998.99,6704.15,7281.07,7513.35,7430.94,7964.02
TMX Group,11904.31,11629.63,12037.73,12210.7,11762.99,11294.42,11713.43,11913.86,12368.65,12676.24,12952.88,13443.22
Australian Securities Exchange,4596.88,4651.1,4893.1,4833.9,4453.6,4324.8,4507.4,4438.8,4636.9,4733.4,4676.4,4846.9
BSE India Limited,6509.9,6518.38,6919.55,7042.68,6782.37,7092.2,7205.22,7289.74,7984.45,8036.88,7722.05,7961.06
Bursa Malaysia,8484,8560.2,8957.24,9105.25,8645.86,8863.39,9212.77,9482.65,9811.64,10171.86,10073.34,10374.98
Colombo Stock Exchange,3636.41,3807.86,3724.59,4188.9,4237.16,4612.46,5161.18,5658.01,6997.22,6678.05,6434.85,6635.87
Hong Kong Exchanges and Clearing,23764.5,24240.75,24850.35,24860.57,23277.99,23718.78,24624.43,24084.86,26266.05,27243.82,27339.35,27392.78
Indonesia Stock Exchange,2610.8,2549.03,2777.3,2971.25,2796.96,2913.68,3069.28,3081.88,3501.3,3635.32,3531.21,3703.51
Japan Exchange Group - Osaka,986.39,985.32,1088.84,1081.19,965.67,908.81,925.62,881.22,907.26,884.11,942.95,981.06
Japan Exchange Group - Tokyo,901.12,894.1,978.81,987.04,880.46,841.42,849.5,804.67,829.51,810.91,860.94,898.8
Korea Exchange,1602.43,1594.58,1692.85,1741.56,1641.25,1698.29,1759.33,1742.75,1872.81,1882.95,1904.63,2051
National Stock Exchange of India Limited,4156.05,4127.55,4313.25,4368.1,4226.6,4420.7,4475.15,4537.25,4925.15,4972.95,4781.4,4940.15
Philippine Stock Exchange,2953.19,3043.75,3161.8,3290.09,3272.73,3372.71,3426.95,3566.23,4100.07,4268.74,3953.7,4201.14
Shanghai Stock Exchange,2989.29,3051.94,3109.11,2870.61,2592.15,2398.37,2637.5,2638.8,2655.66,2978.84,2820.18,2808.08
Shenzhen Stock Exchange,1120.45,1172.33,1211.25,1112.68,1033.5,945.29,1075.45,1166.5,1169.02,1303.85,1307.83,1290.87
Singapore Exchange,2745.35,2750.86,2887.46,2974.61,2752.6,2835.51,2987.7,2950.33,3097.63,3142.62,3144.7,3190.04
Taiwan Stock Exchange,7640.44,7436.1,7920.06,8004.25,7373.98,7329.37,7760.63,7616.28,8237.78,8287.09,8372.48,8972.5
The Stock Exchange of Thailand,696.55,721.37,787.98,763.51,750.43,797.31,855.83,913.19,975.3,984.46,1005.12,1032.76
Amman Stock Exchange,2525.1,2470.88,2517.72,2575.47,2401.57,2348.56,2334.77,2249,2306.46,2335.61,2354.6,2373.58
Athens Stock Exchange (ATHEX),2048.32,1913.16,2067.49,1869.99,1550.78,1434.22,1681.98,1555.41,1471.04,1547.43,1419.67,1413.94
BME Spanish Exchanges Barcelona,853.81,803.45,840.04,812.56,720.51,717.2,816.35,787.86,807.47,831.99,700.4,751.32
BME Spanish Exchanges Bilbao,1780.69,1687.75,1782.21,1715.32,1523.91,1496.2,1676.74,1628.86,1687.3,1723.94,1506.68,1615.18
BME Spanish Exchanges Madrid,1140.57,1074.18,1123.08,1086.68,966.64,960.79,1088.62,1052.73,1085.03,1111.28,944.91,1003.73
BME Spanish Exchanges Valencia,1046.83,988.56,1037.76,1004.09,904.54,898.69,1023.6,996.16,1028.86,1064.71,914.7,976.93
Borsa Istanbul,54650.58,49705.49,56538.37,58958.1,54384.94,54839.46,59867,59973,65774,68760,65350.85,66004.48
Borsa Italiana,16796.98,16207.45,17589,16829,15236,15009,16076,15174,15944,16656,15183,16121
Budapest Stock Exchange,1993.15,1998.16,2135.77,2163.56,2020.47,1920.34,2027.96,2000.44,2145.18,2117.74,1883.09,1929.42
Cyprus Stock Exchange,1495.03,1398.37,1493.66,1370.91,1190.87,1066.92,1317.99,1269.46,1246.79,1308.81,1108.66,1055.21
Deutsche Boerse AG,303.33,302.1,331.65,329.26,313.44,313.07,322.99,312.12,329,348.85,353.66,368.72
Euronext Amsterdam,510.01,497.58,539.97,542.22,499.66,489.66,509.24,491.13,520.28,527.15,515.53,557.94
Euronext Brussels,8051.9,8050.22,8471.4,8187.62,7969.95,7794.08,8187.48,8058.25,8478.66,8855.21,8250.52,8552.46
Euronext Lisbon,2736.6,2610.3,2775.98,2579.58,2509.41,2524.31,2624.19,2626.15,2655.61,2852.69,2591.84,2721.99
Euronext Paris,2675.75,2657.74,2850.31,2759.18,2545.12,2498.74,2641.13,2538.24,2705.1,2796.15,2649.77,2800.66
Irish Stock Exchange,2976.25,2873.6,3177.77,3397,2947.7,2878.67,2915.36,2703.86,2676.18,2684.25,2646,2885.1
Johannesburg Stock Exchange,26675.95,26764.61,28747.56,28635.76,27145.36,26258.82,28355.21,27253.87,29456.04,30430.9,30266.4,32118.89
London Stock Exchange,2660.49,2736.8,2910.19,2863.35,2673.17,2543.47,2715.36,2783.03,2868,2936,2861.61,3063
Luxembourg Stock Exchange,1101.1,1127.63,1277.64,1193.15,1066.38,1045.6,1055.57,1036.91,1076.4,1058.87,1088.72,1241.9
Malta Stock Exchange,3846.91,3620.15,3549.24,3505.93,3484.29,3365.1,3533.22,3458.83,3386.85,3374.27,3468.8,3781.24
MICEX ,1419.42,1332.64,1450.15,1436.04,1332.62,1309.31,1397.12,1368.9,1440.3,1523.39,1565.52,1687.99
Muscat Securities Market,6532.16,6689.31,6697.51,6830.37,6294.43,6058.11,6294.55,6256.8,6472.76,6553.33,6592,6754.92
Nasdaq Nordic Exchanges,159.49,163.11,176.09,180.39,168.46,169.45,178.35,173.52,189.06,189.23,192.17,207.08
NASDAQ OMX Nordic Copenhagen,319.94,319.32,339.98,359.99,341.97,344.41,356.28,343.41,361.09,369,370.5,395.2
NASDAQ OMX Nordic Helsinki ,6704.05,6680.45,7297.79,6997.54,6490.4,6251.04,6637.69,6527.67,7095.68,7227.84,7071.95,7661.9
NASDAQ OMX Nordic Iceland ,492.18,532.09,574.26,618.83,543.84,560.6,580.79,582.22,572.13,583.16,576.17,569.19
NASDAQ OMX Nordic Stockholm ,301.62,299.65,324.48,332.95,308.41,312.96,327.09,316.16,342.83,343.17,348.04,368.54
Oslo Bors,240.52,232.35,249.43,252.03,222.46,211.04,230.52,226.65,244.6,259.47,253.91,281.41
Saudi Stock Exchange (Tadawul),6252.55,6437.5,6801.01,6867.97,6120.52,6093.76,6283.73,6106.42,6392.39,6353.88,6318.5,6620.75
SIX Swiss Exchange,6440.72,6710.99,6873.37,6616.82,6312.6,6128.06,6200.78,6180.89,6296.33,6472.23,6312.43,6436.04
Stock Exchange of Mauritius,1740.97,1646.1,1639.49,1687.27,1609.97,1654.16,1716.06,1719.67,1760.87,1861.86,1906.79,1967.45
Tehran Stock Exchange,11725,12049,12945,14012,14038,14552,15840,17956,18671,18011,18243,18855
Tel-Aviv Stock Exchange,967.78,1009.63,1060.78,1004.18,922.18,915.05,927.52,951.7,1013.58,1055.5,1027.12,1081.81
The Egyptian Exchange,6756.14,6632.54,6806.11,7451.72,6549.02,6033.09,6316.52,6407.93,6634.27,6670.34,6704.83,7142.14
Warsaw Stock Exchange,40058.26,38708.61,42446.51,43295.17,41530.09,39392.47,42464.68,42215.66,45236.72,46229.6,45361.07,47489.91
Wiener Borse,915.17,898.13,963.06,993.15,908.75,867.91,935.4,912.37,959.19,1004.24,981.41,1104.39
