Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Bermuda Stock Exchange,1355.8,1221.7,1426.4,1475,1921.3,1439.7,1651.2,1669,1688.8,1671.6,1587.5,1535
BM&FBOVESPA S.A.,1227025.7,1252410.6,1318057.9,1312423.9,1177772.2,1151144.6,1301751.7,1278128.8,1467134.3,1503587.4,1447045.2,1545565.7
Bolsa de Comercio de Buenos Aires,45739.7,44211,45925.8,47081.8,41211.2,42685.7,44762.7,46227.4,48543.3,53630.4,56493.9,63909.8
Bolsa de Comercio de Santiago,232909.6,235894.8,237755.7,246076.7,238784.4,239600.4,270042.4,290846.4,320219.1,323633.9,326019.7,341798.9
Bolsa de Valores de Colombia,144453.2,149307,155905.7,156963.2,152167.9,158662.1,178212,192566.6,209316.2,226168.6,196350,208501.7
Bolsa de Valores de Lima,70430.7,67888.8,70349.3,74218.2,71095.5,69463.3,69930.3,73850.2,84872.4,91366.9,93698.8,103347.5
Bolsa Mexicana de Valores,336674,356535.7,386251.8,385274.7,358211.1,350386.3,366943.3,350658.9,388570.8,419585.3,430773.9,454345.2
Nasdaq - US,3077668,3204180.9,3500875.4,3592698.6,3298365.7,3165217.8,3294927.9,3085793.4,3480718.2,3653047.9,3649044,3889369.9
NYSE,12224900.6,11722365.8,12423557.3,12954861.5,12250430.8,11793163.3,11669767.5,11924977.2,12277829.6,12825643.1,13040033,13394081.8
TMX Group,1624217.1,1710325.7,1817263.1,1858777.7,1727970.5,1634732.7,1768359.4,1719717.9,1867609,1963166.8,2002393.9,2170432.7
Americas,18985374.5,18744341.9,19957368.3,20629851.2,19317930.5,18606495.9,18966348.5,18964435.7,20146501.7,21061501.8,21243439.9,22172888.1
Australian Securities Exchange,1177504,1196535.3,1292529.6,1301522.9,1082064.9,1058967,1184959.7,1157870,1318559.3,1340888.1,1308583.5,1454490.6
BSE India Limited,1283157.9,1280449.8,1373016.4,1416072.1,1313422,1376332.9,1402698.4,1394988.6,1585803.3,1626773.4,1540338.9,1631829.5
Bursa Malaysia,290934.7,295538.6,322267.4,335800.1,312288.5,319678.4,339104.7,353264.2,368023.8,382352.8,386026.2,408689.1
Colombo Stock Exchange,10215.8,10704.2,10616.8,11964.5,12128.2,13241.6,15005.1,16521,20623.1,19786,19142.5,19923.9
Hong Kong Exchanges and Clearing,2148075.4,2216075.2,2325349.1,2329065.6,2152799,2199901,2338757.9,2304263.2,2535956.4,2679387.6,2695931.6,2711316.2
Indonesia Stock Exchange,224889,221877.9,248703.1,268756.5,249343.8,264862.2,283830.2,284612.1,327103.9,344995.3,339164,360388.1
Japan Exchange Group - Osaka,245271,247028.1,262001.2,269699.4,246469.8,249363.2,249129.3,245667.5,243857.4,248122.7,251636.8,271831.4
Japan Exchange Group - Tokyo,3382763.6,3422640.8,3534685.4,3595859.6,3318236.3,3277303.4,3378688.7,3309808.8,3423744.6,3469039.6,3541793.5,3827774.2
Korea Exchange,801030,801268.7,876130.2,921382.8,822301,836187.3,894043.6,872753.5,987651.7,1013333.4,991654.5,1091911.5
National Stock Exchange of India Limited,1252537.3,1248304,1338495,1379138.3,1279538.1,1341185.4,1366257.9,1359144.9,1548577.6,1588090.9,1502650.5,1596625.3
Philippine Stock Exchange,84501.7,87228.3,92409.4,97057.6,95601.1,102101.9,105977.4,110379.8,130085.5,142520.5,140898.4,157320.5
Shanghai Stock Exchange,2481554.8,2561568,2630840.9,2430126.5,2196446.5,2050695.9,2381800.8,2400345.4,2468793.1,2803493.1,2680723.4,2716470.2
Shenzhen Stock Exchange,834224.4,904546.9,957734.6,909050.6,873888.9,826862.3,952842.1,1053563,1099182.2,1246000,1283812.1,1311370.1
Singapore Exchange,463036.3,462680,491641.3,521553.4,491222.8,507972.7,552309.9,551451.1,597332.3,628621.5,610794.1,647226.4
Taiwan Stock Exchange,618118.9,598564.6,644612.9,660288.7,597210.1,590060.4,627805,618327.9,686618.8,708893.2,724558.4,818490.5
The Stock Exchange of Thailand,168689,176368.4,196722.4,190572.9,187226.5,199720.9,215254.9,236861,261122,267667.4,271236.7,277731.7
Asia - Pacific,14002540.4,14269402,15031790.9,15024953.9,13735249,13623887.8,14673078.3,14665009.6,15810600,16673751.7,16534657.8,17434932.4
Amman Stock Exchange,31330.9,30598.1,30650.2,31296.7,29558.8,29348.3,29056.1,28458.3,29363.7,29894.4,29940.8,30864.4
Athens Stock Exchange (ATHEX),101437.3,94869,100490.9,89439.9,69728.7,64080.9,79020.8,71565.1,73025.4,77257.8,65860.7,67586.4
