Exchange,January,February,March,April,May,June,July,August,September,October,November,December
BATS Global Markets,1,1,1,1,1,1,1,1,1,1,1,1
Bermuda Stock Exchange,1,1,1,1,1,1,1,1,1,1,1,1
BM&FBOVESPA S.A.,1.6734,1.6582,1.6268,1.5729,1.5842,1.5623,1.5553,1.5882,1.8563,1.6939,1.8023,1.8653
Bolsa de Comercio de Buenos Aires,4.0013,4.026,4.0518,4.0813,4.084,4.104,4.1413,4.1988,4.2038,4.2363,4.283,4.304
Bolsa de Comercio de Santiago,483.5,476.35,479.15,459.95,465.15,468.55,457.45,463.85,523.475,489.95,515.55,519.45
Bolsa de Valores de Colombia,1869.05,1906.8,1871.5,1771.2,1809.05,1772.8,1777.3,1787,1929.4,1871.1,1950.35,1938.5
Bolsa de Valores de Lima,2.772,2.774,2.8025,2.8175,2.769,2.7499,2.7382,2.7265,2.7735,2.7068,2.6995,2.6965
Bolsa Mexicana de Valores,12.1628,12.0995,11.9073,11.532,11.5742,11.7269,11.7352,12.3515,13.8298,13.1686,13.5708,13.9554
Bourse de Montreal,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
CBOE Futures Exchange,1,1,1,1,1,1,1,1,1,1,1,1
Chicago Board Options Exchange,1,1,1,1,1,1,1,1,1,1,1,1
CME Group,1,1,1,1,1,1,1,1,1,1,1,1
ICE Futures Canada,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
ICE Futures US,1,1,1,1,1,1,1,1,1,1,1,1
International Securities Exchange,1,1,1,1,1,1,1,1,1,1,1,1
Nasdaq - US,1,1,1,1,1,1,1,1,1,1,1,1
NASDAQ OMX PHLX,1,1,1,1,1,1,1,1,1,1,1,1
NYSE,1,1,1,1,1,1,1,1,1,1,1,1
TMX Group,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
ASX Derivatives Trading,0.997,0.982,0.967,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
ASX SFE Derivatives Trading,0.997,0.982,0.967,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
Australian Securities Exchange,0.997,0.982,0.967,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
BSE India Limited,45.91,45.265,44.595,44.215,45.045,44.7025,44.19,46.05,48.975,48.695,52.205,53.105
Bursa Malaysia,3.0615,3.0505,3.0288,2.962,3.0105,3.0195,2.968,2.983,3.1925,3.068,3.1785,3.17
Bursa Malaysia Derivatives,3.0615,3.0505,3.0288,2.962,3.0105,3.0195,2.968,2.983,3.1925,3.068,3.1785,3.17
China Financial Futures Exchange,6.603,6.5716,6.5485,6.491,6.4791,6.464,6.4366,6.3782,6.3859,6.3549,6.3789,6.294
Colombo Stock Exchange,111.1,110.8,110.395,109.9,109.7,109.5,109.45,109.9,110.2,110.2,113.895,113.9
Dalian Commodity Exchange,6.603,6.5716,6.5485,6.491,6.4791,6.464,6.4366,6.3782,6.3859,6.3549,6.3789,6.294
Hong Kong Exchanges and Clearing,7.7958,7.7892,7.7782,7.7676,7.7775,7.7813,7.7945,7.7897,7.7848,7.765,7.7755,7.7666
Indonesia Stock Exchange,9048,8821.5,8707.5,8564,8535.5,8575.5,8502.5,8533,8790,8852.5,9110,9067.5
Japan Exchange Group - Osaka,81.93,81.93,82.88,81.14,81.24,80.76,77.19,76.47,77.08,77.975,77.63,76.94
Japan Exchange Group - Tokyo,81.93,81.93,82.88,81.14,81.24,80.76,77.19,76.47,77.08,77.975,77.63,76.94
Korea Exchange,1121.3,1128.65,1096.95,1071.65,1079.15,1067.65,1054.3,1066.85,1178.05,1108.2,1142.7,1152
National Stock Exchange of India Limited,45.91,45.265,44.595,44.215,45.045,44.7025,44.19,46.05,48.975,48.695,52.205,53.105
Philippine Stock Exchange,44.29,43.59,43.4,42.81,43.26,43.335,42.14,42.2875,43.725,42.635,43.62,43.855
Shanghai Stock Exchange,6.603,6.5716,6.5485,6.491,6.4791,6.464,6.4366,6.3782,6.3859,6.3549,6.3789,6.294
Shenzhen Stock Exchange,6.603,6.5716,6.5485,6.491,6.4791,6.464,6.4366,6.3782,6.3859,6.3549,6.3789,6.294
Singapore Exchange,1.28,1.2709,1.2605,1.2223,1.2345,1.2276,1.2038,1.2023,1.3031,1.2517,1.2813,1.2967
Taiwan Futures Exchange,29.0355,29.747,29.4065,28.6385,28.657,28.7235,28.8355,29.0095,30.475,29.918,30.333,30.279
Taiwan Stock Exchange,29.0355,29.747,29.4065,28.6385,28.657,28.7235,28.8355,29.0095,30.475,29.918,30.333,30.279
Thailand Futures Exchange,30.895,30.575,30.245,29.85,30.3,30.725,29.825,29.97,31.085,30.75,31.17,31.55
The Stock Exchange of Thailand,30.895,30.575,30.245,29.85,30.3,30.725,29.825,29.97,31.085,30.75,31.17,31.55
Amman Stock Exchange,0.7085,0.7088,0.7095,0.7078,0.7088,0.7088,0.7088,0.7093,0.7086,0.7088,0.7093,0.709
Athens Stock Exchange (ATHEX),0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
BATS Chi-x Europe,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
BME Spanish Exchanges,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Borsa Istanbul,1.6032,1.6002,1.5439,1.5192,1.5978,1.624,1.6771,1.7167,1.8595,1.7629,1.8245,1.8886
Borsa Italiana,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Bourse de Casablanca,8.1989,8.139,7.9642,7.6721,7.8807,7.8272,7.8737,7.8682,8.3417,8.0817,8.3101,8.5714
Budapest Stock Exchange,199.169,196.025,187.193,178.333,185.483,183.133,187.387,188.874,218.678,218.078,225.595,242.472
Cyprus Stock Exchange,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Deutsche Boerse AG,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Amsterdam,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Brussels,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Lisbon,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Paris,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
ICE Futures Europe,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
