Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Bermuda Stock Exchange,2.2,2.3,4.4,31.6,3.3,1.2,0.7,1.4,1.5,0.8,1.4,32.1
BM&FBOVESPA S.A.,62.7,59.2,69.6,68.6,79.7,66.3,56,62.8,64.8,69.8,57.6,59.3
Bolsa de Comercio de Buenos Aires,3.9,2.9,3.9,4.8,4.5,3.7,3.1,6.3,4.4,6.9,9.9,7.2
Bolsa de Comercio de Santiago,19.9,13.4,20.7,16.7,18.5,15.6,17.6,20.8,18.1,21.2,17.5,30.5
Bolsa de Valores de Colombia,11.3,12,11.5,13.7,12.4,10.2,13.5,11.5,15,14.5,14.5,13.7
Bolsa de Valores de Lima,2.5,1.9,2.9,3.6,2.1,1.8,1.6,9.4,3.8,15,4.4,7.8
Bolsa Mexicana de Valores,32.6,25.6,30.2,30.5,33.5,29.2,29.3,27.8,22.8,30.5,26.8,23.8
TMX Group,71.5,62.1,81.9,78,87.8,81,62.3,66.3,82.4,66.1,78.6,71.8
Australian Securities Exchange,65,79.5,85.5,75.3,111,84.2,75,90,85.7,81.8,89.9,64.3
BSE India Limited,23.5,16.6,19.2,17.9,17,17.3,17.1,20.1,17.6,19.5,18,13.4
Bursa Malaysia,38.1,22.1,37.6,32.4,31.8,23.8,28.3,30.9,32.6,36.3,37.8,33.6
Colombo Stock Exchange,28.5,27.8,32.4,23.5,30,42.5,39.3,34.9,45.3,49,17.5,23.4
Hong Kong Exchanges and Clearing,80.9,46.4,66.6,64.7,65.4,50.5,47,55.2,61.6,77.4,79.2,51
Indonesia Stock Exchange,40.7,29.4,40.9,43.1,44.4,31.2,30.1,32.3,34.3,39.4,43.8,29
Japan Exchange Group - Osaka,78.9,59.9,83.5,82.5,80.4,82.7,64.6,62.5,65.9,60,61.3,71.6
Japan Exchange Group - Tokyo,117.9,99.7,104.2,120.3,126.4,117.1,100.3,104.9,101.6,114.4,105.4,103.6
Korea Exchange,239.1,152.7,171.7,188.6,190.3,162.8,173.5,161.9,149.4,178.5,189.7,157.3
National Stock Exchange of India Limited,70.1,51,57,54.1,57.4,54.9,53.9,58.4,56.7,61.1,63.2,49.6
NZX Limited,6.5,7.7,9.3,8.2,10.2,NA,NA,NA,NA,NA,NA,NA
Philippine Stock Exchange,16.6,15.1,20.4,20.6,18.7,18.2,17.3,19.7,27,20.7,20.4,16
Shanghai Stock Exchange,205.5,97.9,168.6,207.5,148.9,111.6,129.9,181.5,170.4,236,306.9,177.1
Shenzhen Stock Exchange,395.6,194.4,345.1,447.2,285.2,263.8,281.1,377.6,336.1,374.1,512.2,318.6
Singapore Exchange,69.8,43.5,52.4,58.3,59.5,43,47,50,54,64.6,58.2,39.4
Taiwan Stock Exchange,180.4,80.9,135.1,147.6,124.2,105.2,132.4,163.7,146.6,130.8,125.1,152.2
The Stock Exchange of Thailand,78.2,56.3,100.1,84.3,72.8,86.1,100.9,114.7,129.4,97,130.4,83.5
Amman Stock Exchange,26,23.3,44.6,58.6,31.3,26.1,24,25.7,28.3,20.5,15.1,18.5
Athens Stock Exchange (ATHEX),61.7,58.3,53.9,74.2,59.5,44.7,39.6,33.5,46.9,47.4,43.9,28.5
BME Spanish Exchanges,115.2,102.5,83.1,128.4,164.6,114.3,133,74.2,85.3,143,165.4,97.5
Borsa Istanbul,195,197.5,174.6,168.7,170.9,125.7,115.9,99.6,125,144.4,133.5,183.9
Budapest Stock Exchange,94.3,78,123.5,88.7,140.8,132.4,81.7,72.4,74.3,80.6,92.7,50.7
Cyprus Stock Exchange,12.5,10.4,9.4,11,9.1,8.3,9.3,6,11.2,10.6,8.1,5.3
Deutsche Boerse AG,125.2,123,121.7,138.8,184.9,126.6,104.2,102,115.3,97.1,108.1,84.4
Euronext,72.6,78.8,75.3,81.5,117.3,90,74.1,66.2,69.8,63.4,73.1,56.1
Irish Stock Exchange,14.2,14.4,16.9,15.5,18.4,20.8,13.8,11.6,13.7,11.4,17.2,11.8
Johannesburg Stock Exchange,39.6,40.6,50.2,38,59.4,48.9,43.5,46.1,46.8,43.5,44.2,38.6
Ljubljana Stock Exchange,3.9,4.4,6.4,4.1,4.6,4.5,3,3.9,5,4.7,4.9,7.8
LSE Group,74,79,76.6,75.6,117.7,96.3,71.6,64.3,71.5,61.5,73,52.4
Luxembourg Stock Exchange,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
Malta Stock Exchange,1.8,1.1,1.2,1.2,1.3,1,0.9,1.1,0.8,1.1,1.6,1.6
MICEX ,42.2,56,61.9,58.5,66.2,61,51.5,45.5,45.4,52.8,47.8,45.3
Muscat Securities Market,24.7,20.4,19.1,21.7,20.2,16.3,13.5,14.3,14.7,16.8,17.5,17.3
Nasdaq Nordic Exchanges,83.3,87.2,84.6,91.3,106.5,81.7,69.2,72.2,74.8,79.1,67.8,58.7
Oslo Bors,114.6,116,91.9,97.4,110,96.6,74.1,93.5,90.7,85.4,98,60.7
Saudi Stock Exchange (Tadawul),63.4,50.4,62.4,77.3,100.6,77.7,53.1,44.4,30.6,54.2,44.4,59
SIX Swiss Exchange,83.1,83.3,78.3,77.8,87.3,71.7,71.7,63,73.2,65,71.8,56.1
Stock Exchange of Mauritius,4.1,6,10.4,5.9,8.2,4.3,3.6,3,4.6,5.5,4.6,2.9
Tehran Stock Exchange,12.3,19.7,9,21.9,48.5,39.4,18.1,31,35.8,23.8,9,8.4
Tel-Aviv Stock Exchange,55.7,40.4,51.1,38.6,90.4,63.9,40.7,48.5,39,53.1,53.9,50.2
The Egyptian Exchange,70.6,53.9,57.6,65.5,53.2,46.9,34.5,34.6,39.1,43.7,36.5,36.4
Warsaw Stock Exchange,38.9,35.9,45.3,38.3,55.5,40.8,36.3,33.7,45.2,42.4,49.6,35.8
Wiener Borse,48.7,46.6,52.3,55.6,59.6,47.7,39,33.3,32.7,35.8,43,44.8
